002c:err:wineboot:process_run_key Error running cmd L"C:\\windows\\system32\\winemenubuilder.exe -a -r" (2).
0140:fixme:file:NtLockFile I/O completion on lock not implemented yet
0140:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
0148:fixme:urlmon:InternetBindInfo_GetBindString not supported string type 20
0148:fixme:file:NtLockFile I/O completion on lock not implemented yet
0148:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
0160:fixme:file:NtLockFile I/O completion on lock not implemented yet
0160:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
0168:fixme:file:NtLockFile I/O completion on lock not implemented yet
0168:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
0170:err:environ:init_peb starting L"C:\\windows\\syswow64\\regsvr32.exe" in experimental wow64 mode
regsvr32: Successfully unregistered DLL 'C:\windows\\Microsoft.NET\Framework\v4.0.30319\diasymreader.dll'
regsvr32: Successfully unregistered DLL 'C:\windows\\Microsoft.NET\Framework64\v4.0.30319\diasymreader.dll'
0168:fixme:msi:internal_ui_handler internal UI not implemented for message 0x0b000000 (UI level = 5)
0168:fixme:msi:internal_ui_handler internal UI not implemented for message 0x0b000000 (UI level = 5)
0180:fixme:file:NtLockFile I/O completion on lock not implemented yet
0180:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
0188:err:environ:init_peb starting L"C:\\windows\\mono\\mono-2.0\\support\\removeuserinstalls-x86.exe" in experimental wow64 mode
0190:err:environ:init_peb starting L"C:\\windows\\mono\\mono-2.0\\support\\installinf-x86.exe" in experimental wow64 mode
0180:fixme:msi:internal_ui_handler internal UI not implemented for message 0x0b000000 (UI level = 5)
0180:fixme:msi:internal_ui_handler internal UI not implemented for message 0x0b000000 (UI level = 5)
0148:fixme:msi:internal_ui_handler internal UI not implemented for message 0x0b000000 (UI level = 1)
0148:fixme:msi:internal_ui_handler internal UI not implemented for message 0x0b000000 (UI level = 1)
01b0:err:environ:init_peb starting L"C:\\windows\\syswow64\\rundll32.exe" in experimental wow64 mode
01b8:err:environ:init_peb starting L"C:\\windows\\syswow64\\iexplore.exe" in experimental wow64 mode
0024:err:environ:init_peb starting L"Z:\\var\\home\\rizvan\\.var\\app\\io.github.fastrizwaan.WineCharm\\data\\winecharm\\Prefixes\\Castle_of_Illusion-e757daac48\\drive_c\\Games\\Castle of Illusion\\COI.exe" in experimental wow64 mode
0024:fixme:heap:RtlSetHeapInformation HEAP_INFORMATION_CLASS 1 not implemented!
0024:fixme:msvcrt:type_info_name_internal_method type_info_node parameter ignored
0024:fixme:thread:NtSetInformationThread ThreadIdealProcessor stub!
0024:fixme:ntdll:NtQuerySystemInformation info_class SYSTEM_PERFORMANCE_INFORMATION
01e8:fixme:avrt:AvSetMmThreadCharacteristicsW (L"Audio",27B1FEEC): stub
0024:err:d3d:wined3d_swapchain_resize_buffers Something's still holding back buffer 0 (0174FB78).
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x80004.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
0024:fixme:d3dx:d3dx_load_pixels_from_pixels Unhandled filter 0x5.
